mother_age,non_survivors,total_birth,birth_weight 
16,0,1,9.5
16,0,2,9
16,0,1,8.5
16,0,3,8
16,0,7,7.5
16,0,2,7
16,0,4,6.5
16,0,2,6
16,0,2,5.5
16,0,1,5
16,1,1,3
18,1,1,11
18,0,4,9.5
18,0,10,9
18,0,10,8.5
18,1,38,8
18,1,54,7.5
18,0,62,7
18,3,37,6.5
18,1,31,6
18,2,15,5.5
18,0,4,5
18,1,5,4.5
18,0,4,4
18,1,1,3.5
18,0,1,3
18,2,2,2.5
18,3,3,2
18,1,1,1.5
18,1,1,1
20,0,1,11
20,0,3,10
20,0,11,9.5
20,0,17,9
20,1,42,8.5
20,1,77,8
20,3,92,7.5
20,2,129,7
20,2,100,6.5
20,2,63,6
20,1,26,5.5
20,2,16,5
20,0,12,4.5
20,0,1,4
20,3,4,3.5
20,6,7,3
20,2,2,1
22,1,3,10.5
22,1,6,10
22,1,15,9.5
22,1,31,9
22,1,53,8.5
22,1,142,8
22,2,146,7.5
22,6,192,7
22,5,136,6.5
22,2,98,6
22,1,43,5.5
22,0,22,5
22,0,10,4.5
22,2,8,4
22,1,2,3.5
22,1,2,3
22,1,1,2.5
22,2,2,2
22,2,2,1
24,0,3,11
24,0,3,10.5
24,0,11,10
24,0,17,9.5
24,1,28,9
24,3,72,8.5
24,3,130,8
24,4,167,7.5
24,6,217,7
24,3,150,6.5
24,2,108,6
24,4,65,5.5
24,1,26,5
24,1,6,4.5
24,0,4,4
24,3,6,3.5
24,2,5,3
24,1,3,2.5
24,4,4,2
24,2,2,1
26,0,1,11
26,1,4,10.5
26,0,4,10
26,0,14,9.5
26,1,37,9
26,2,64,8.5
26,1,126,8
26,1,149,7.5
26,4,211,7
26,1,132,6.5
26,2,83,6
26,3,46,5.5
26,5,26,5
26,2,13,4.5
26,3,11,4
26,3,5,3.5
26,2,2,3
26,3,3,2.5
26,3,3,2
26,2,2,1.5
28,0,3,11
28,0,3,10.5
28,3,8,10
28,0,16,9.5
28,0,31,9
28,0,60,8.5
28,0,88,8
28,4,148,7.5
28,8,173,7
28,1,114,6.5
28,3,97,6
28,4,43,5.5
28,1,15,5
28,2,7,4.5
28,3,10,4
28,0,5,3.5
28,5,7,3
28,1,1,2
28,1,1,1
30,1,2,11
30,0,4,10.5
30,1,11,10
30,0,12,9.5
30,1,31,9
30,2,38,8.5
30,0,88,8
30,3,112,7.5
30,2,121,7
30,1,97,6.5
30,1,73,6
30,4,28,5.5
30,2,12,5
30,2,14,4.5
30,2,8,4
30,3,7,3.5
30,4,5,3
30,1,2,2
30,2,2,1.5
32,0,2,11.5
32,0,2,10.5
32,0,5,10
32,3,16,9.5
32,0,29,9
32,4,43,8.5
32,4,68,8
32,3,88,7.5
32,2,107,7
32,2,90,6.5
32,1,53,6
32,3,27,5.5
32,1,21,5
32,4,13,4.5
32,1,3,4
32,1,3,3.5
32,3,3,3
32,3,3,2.5
32,2,2,2
34,0,2,10.5
34,0,3,10
34,0,6,9.5
34,0,26,9
34,1,30,8.5
34,1,46,8
34,2,61,7.5
34,2,74,7
34,1,47,6.5
34,0,44,6
34,2,20,5.5
34,2,12,5
34,2,8,4.5
34,1,3,4
34,2,8,3.5
34,1,1,3
34,2,2,2.5
34,1,1,2
34,1,1,1.5
34,1,1,1
36,0,2,11
36,0,3,10
36,0,7,9.5
36,0,24,9
36,0,17,8.5
36,0,30,8
36,1,54,7.5
36,6,74,7
36,0,38,6.5
36,2,34,6
36,1,19,5.5
36,1,5,5
36,2,4,4.5
36,0,2,4
36,1,2,3.5
36,1,2,3
36,2,2,2
36,3,3,1
38,0,1,11
38,0,1,10.5
38,0,3,10
38,0,7,9.5
38,0,17,9
38,0,14,8.5
38,1,46,8
38,2,32,7.5
38,1,31,7
38,4,30,6.5
38,0,19,6
38,0,7,5.5
38,0,4,5
38,2,5,4.5
38,2,6,4
38,2,2,3.5
38,2,2,3
38,2,2,1.5
40,1,1,13
40,0,1,11
40,0,2,10.5
40,0,4,10
40,0,2,9.5
40,0,9,9
40,1,8,8.5
40,1,17,8
40,0,23,7.5
40,2,20,7
40,0,13,6.5
40,0,10,6
40,1,11,5.5
40,1,4,5
40,0,1,4.5
40,1,1,3
40,1,1,2.5
40,1,1,1
42,0,1,10
42,1,2,9.5
42,0,4,9
42,1,4,8.5
42,1,8,8
42,0,8,7.5
42,0,6,7
42,2,13,6.5
42,0,3,6
42,1,5,5.5
42,0,2,5
42,0,1,3.5
44,0,1,10.5
44,0,1,10
44,0,2,9.5
44,0,3,9
44,0,3,8.5
44,0,1,8
44,0,2,7
44,0,3,6
44,0,1,5.5
44,0,1,4.5
46,0,1,6.5
46,1,2,5.5